,date,time,text,sentiment,target,text_tokenized,joined_tokens
62,2/22/2022,9:36:33 PM, kanye crashed the servers,Negative,Game,"['kanye', 'crashed', 'servers']",kanye crashed servers
63,2/22/2022,11:37:08 PM, come on ddc,Negative,Game,"['come', 'ddc']",come ddc
64,2/22/2022,6:07:55 PM," i guess the raids and the other things are for real players, like the unemployed. the paying customers have to wait.",Negative,Game,"['guess', 'raids', 'things', 'real', 'players', 'like', 'unemployed', 'paying', 'customers', 'wait']",guess raids things real players like unemployed paying customers wait
65,2/22/2022,9:25:32 PM, i got dcd!,Negative,Game,"['got', 'dcd']",got dcd
66,2/23/2022,10:29:09 AM, they are gonna fix it in 10.2 they said,Negative,Game,"['gonna', 'fix', 'said']",gonna fix said
67,2/22/2022,8:11:35 PM, time to ditch the alts ig,Negative,Game,"['time', 'ditch', 'alts', 'ig']",time ditch alts ig
68,2/23/2022,6:38:02 PM, blizz banned em ball,Negative,Game,"['blizz', 'banned', 'em', 'ball']",blizz banned em ball
69,2/23/2022,12:51:00 AM, chains of domination wtf,Negative,Game,"['chains', 'domination', 'wtf']",chains domination wtf
70,2/23/2022,1:10:22 AM, anyone else can't port to ogrimar?,Negative,Game,"['anyone', 'else', 'port', 'ogrimar']",anyone else port ogrimar
71,2/23/2022,7:46:53 PM, omg the new warrior set looks so bad,Negative,Game,"['omg', 'new', 'warrior', 'set', 'looks', 'bad']",omg new warrior set looks bad
72,2/22/2022,8:14:50 AM, prolly honestly 12 hours,Negative,Game,"['prolly', 'honestly', 'hours']",prolly honestly hours
73,2/23/2022,11:48:48 AM, its fucking run here run there jump here click that then you can finally open a chest for percentage to fill a rep bar,Negative,Game,"['fucking', 'run', 'run', 'jump', 'click', 'finally', 'open', 'chest', 'percentage', 'fill', 'rep', 'bar']",fucking run run jump click finally open chest percentage fill rep bar
74,2/22/2022,8:23:51 PM, hes a scammer,Negative,Game,"['hes', 'scammer']",hes scammer
75,2/22/2022,5:14:34 PM, >:(,Negative,Game,['negative'],negative
76,2/22/2022,8:39:53 AM, awww,Negative,Game,['awww'],awww
77,2/23/2022,9:36:30 PM," my sub expires tomorrow and i dont plan on reupping it til next xpac, did the same in bfa when it got too shitty",Negative,Game,"['sub', 'expires', 'tomorrow', 'plan', 'reupping', 'til', 'next', 'xpac', 'bfa', 'got', 'shitty']",sub expires tomorrow plan reupping til next xpac bfa got shitty
78,2/23/2022,7:01:32 PM, qq,Negative,Game,['qq'],qq
79,2/22/2022,9:36:25 PM, why do i keep getting dced,Negative,Game,"['keep', 'getting', 'dced']",keep getting dced
80,2/23/2022,9:43:49 PM, its also trumps fault that the blizz devs didnt start fixing the xpac til the last patch too,Negative,Game,"['also', 'trumps', 'fault', 'blizz', 'devs', 'didnt', 'start', 'fixing', 'xpac', 'til', 'last', 'patch']",also trumps fault blizz devs didnt start fixing xpac til last patch
81,2/22/2022,11:02:47 PM, trueth,Negative,Game,['trueth'],trueth
82,2/23/2022,6:37:50 PM, there are no new players anymore,Negative,Game,"['new', 'players', 'anymore']",new players anymore
83,2/23/2022,2:02:47 PM, he spent 40 bucks on coins,Negative,Game,"['spent', 'bucks', 'coins']",spent bucks coins
84,2/23/2022,2:09:34 PM, with this shit expansion its to be expected they couldn't handle a full ass new dungeon,Negative,Game,"['shit', 'expansion', 'expected', 'handle', 'full', 'ass', 'new', 'dungeon']",shit expansion expected handle full ass new dungeon
85,2/23/2022,9:29:17 PM, legion was fantastic after they spent 2/3 of the xpac fixing legion,Negative,Game,"['legion', 'fantastic', 'spent', 'xpac', 'fixing', 'legion']",legion fantastic spent xpac fixing legion
86,2/22/2022,9:20:38 PM, blizzard the startup,Negative,Game,"['blizzard', 'startup']",blizzard startup
87,2/22/2022,6:09:39 PM, is anyone getting bugged from the first quest to get into zerth mortis,Negative,Game,"['anyone', 'getting', 'bugged', 'first', 'quest', 'get', 'zerth', 'mortis']",anyone getting bugged first quest get zerth mortis
88,2/22/2022,9:20:35 PM," come on spicy, that´s tradition",Negative,Game,"['come', 'spicy', 'tradition']",come spicy tradition
89,2/22/2022,10:40:31 PM, bought the ugly ass vulpine,Negative,Game,"['bought', 'ugly', 'ass', 'vulpine']",bought ugly ass vulpine
90,2/22/2022,9:09:38 PM, wtf is going onj,Negative,Game,"['wtf', 'going', 'onj']",wtf going onj
91,2/23/2022,11:47:52 AM, all the dumb sht you have to do to open a damn chest is so try hard,Negative,Game,"['dumb', 'sht', 'open', 'damn', 'chest', 'try', 'hard']",dumb sht open damn chest try hard
92,2/22/2022,8:34:15 AM, i had to fucking all of my days off cuz i am on call this week cuz of dumb ass shit going on at work and now that it is finally my day off wow is down for 18 hours,Negative,Game,"['fucking', 'days', 'cuz', 'call', 'week', 'cuz', 'dumb', 'ass', 'shit', 'going', 'work', 'finally', 'day', 'wow', 'hours']",fucking days cuz call week cuz dumb ass shit going work finally day wow hours
93,2/23/2022,11:49:29 AM, i love pvp just cause i hate the new zone doesnt mean i hate the game ,Negative,Game,"['love', 'pvp', 'cause', 'hate', 'new', 'zone', 'doesnt', 'mean', 'hate', 'game']",love pvp cause hate new zone doesnt mean hate game
94,2/22/2022,5:28:05 PM, i feel like ill be confused,Negative,Game,"['feel', 'like', 'ill', 'confused']",feel like ill confused
95,2/22/2022,8:58:15 PM, every billion person who decided to log in today,Negative,Game,"['every', 'billion', 'person', 'decided', 'log', 'today']",every billion person decided log today
96,2/22/2022,6:07:17 PM, fuck blizzard,Negative,Game,"['fuck', 'blizzard']",fuck blizzard
97,2/22/2022,8:07:11 PM," report ripssi, an ah bot in shrine of two moons, there are other bots(multiboxing) on the same and other realms, they all stack the same spot, nearly always logged in on the ah.",Negative,Game,"['report', 'ripssi', 'ah', 'bot', 'shrine', 'two', 'moons', 'bots', 'multiboxing', 'realms', 'stack', 'spot', 'nearly', 'always', 'logged', 'ah']",report ripssi ah bot shrine two moons bots multiboxing realms stack spot nearly always logged ah
98,2/23/2022,1:10:35 AM," yeah, i god d/c trying. worked the second time, though",Negative,Game,"['yeah', 'god', 'c', 'trying', 'worked', 'second', 'time', 'though']",yeah god c trying worked second time though
99,2/22/2022,8:41:35 PM, can't relog from orb either,Negative,Game,"['relog', 'orb', 'either']",relog orb either
100,2/23/2022,1:06:34 AM, lol,Negative,Game,['lol'],lol
101,2/22/2022,8:07:00 PM," omg, ugly",Negative,Game,"['omg', 'ugly']",omg ugly
102,2/22/2022,5:19:34 PM, i knew i shoulda worked overtime today xd,Negative,Game,"['knew', 'shoulda', 'worked', 'overtime', 'today', 'xd']",knew shoulda worked overtime today xd
103,2/23/2022,11:47:13 AM, imagine being bored when a new patch just came out,Negative,Game,"['imagine', 'bored', 'new', 'patch', 'came']",imagine bored new patch came
104,2/22/2022,5:30:25 PM, nope never,Negative,Game,"['nope', 'never']",nope never
105,2/23/2022,1:07:37 AM, ya org is fkd,Negative,Game,"['ya', 'org', 'fkd']",ya org fkd
106,2/22/2022,9:20:50 PM, i cant even log out,Negative,Game,"['cant', 'even', 'log']",cant even log
107,2/22/2022,9:36:36 PM, same,Negative,Game,['negative'],negative
108,2/22/2022,9:22:44 PM, ikr?,Negative,Game,['ikr'],ikr
109,2/23/2022,7:54:24 PM, anyone else have high world ping low home ping,Negative,Game,"['anyone', 'else', 'high', 'world', 'ping', 'low', 'home', 'ping']",anyone else high world ping low home ping
110,2/22/2022,5:23:37 PM, as soon as i hit 100% mawsrorn defeated it drops me,Negative,Game,"['soon', 'hit', 'mawsrorn', 'defeated', 'drops']",soon hit mawsrorn defeated drops
111,2/22/2022,8:42:05 PM, you would think a billion dollar company would be able to launch a game without issues wrong,Negative,Game,"['would', 'think', 'billion', 'dollar', 'company', 'would', 'able', 'launch', 'game', 'without', 'issues', 'wrong']",would think billion dollar company would able launch game without issues wrong
112,2/22/2022,8:13:45 PM, idk i did the 3 chapters and idk what to do now,Negative,Game,"['idk', 'chapters', 'idk']",idk chapters idk
113,2/23/2022,9:26:47 PM, mad cuz wow is suffering? :(((,Negative,Game,"['mad', 'cuz', 'wow', 'suffering']",mad cuz wow suffering
114,2/22/2022,8:59:21 PM, yep org broken,Negative,Game,"['yep', 'org', 'broken']",yep org broken
115,2/22/2022,8:59:57 PM, i thought it was only me,Negative,Game,['thought'],thought
116,2/23/2022,8:55:14 AM, its over bros,Negative,Game,['bros'],bros
117,2/22/2022,6:21:17 PM, they'll just drop rate .000000001 and for some of the mounts and i guess that's ok.,Negative,Game,"['drop', 'rate', 'mounts', 'guess', 'ok']",drop rate mounts guess ok
118,2/23/2022,1:05:34 AM, org is broke rn i think,Negative,Game,"['org', 'broke', 'rn', 'think']",org broke rn think
119,2/22/2022,10:43:52 PM, servers are ass today,Negative,Game,"['servers', 'ass', 'today']",servers ass today
120,2/22/2022,10:41:08 PM, is anyone els not able to long in to a toon and it says name is alredy in use even though your toon is lvl 6 and you have had it a long time?,Negative,Game,"['anyone', 'els', 'able', 'long', 'toon', 'says', 'name', 'alredy', 'use', 'even', 'though', 'toon', 'lvl', 'long', 'time']",anyone els able long toon says name alredy use even though toon lvl long time
121,2/22/2022,5:21:01 PM, cause of science. :/,Negative,Game,"['cause', 'science']",cause science
122,2/22/2022,6:07:11 PM, alt-ctrl-delete or alt-f4,Negative,Game,"['alt', 'ctrl', 'delete', 'alt', 'f']",alt ctrl delete alt f
123,2/23/2022,10:35:27 AM, blizzard has gone to shit >>,Negative,Game,"['blizzard', 'gone', 'shit']",blizzard gone shit
124,2/22/2022,9:21:28 PM, alt + f4,Negative,Game,"['alt', 'f']",alt f
125,2/22/2022,10:39:34 PM, -for some reason when i try to log in to my toon thats in the new area it tells me my name is alredy in use ? nit ive had this toon for 3 months ,Negative,Game,"['reason', 'try', 'log', 'toon', 'new', 'area', 'tells', 'name', 'alredy', 'use', 'nit', 'ive', 'toon', 'months']",reason try log toon new area tells name alredy use nit ive toon months
126,2/22/2022,5:22:43 PM, whe n i fall toward the sin eater i get put back in orbios,Negative,Game,"['whe', 'n', 'fall', 'toward', 'sin', 'eater', 'get', 'put', 'back', 'orbios']",whe n fall toward sin eater get put back orbios
127,2/23/2022,2:05:38 PM, yall are real toxic sellin that shit lol,Negative,Game,"['yall', 'real', 'toxic', 'sellin', 'shit', 'lol']",yall real toxic sellin shit lol
128,2/23/2022,9:36:25 PM, a normal person ... like me ... like many others .. not dummies like you ... unsub and play something else till something new drops.  not that hard.,Negative,Game,"['normal', 'person', 'like', 'like', 'many', 'others', 'dummies', 'like', 'unsub', 'play', 'something', 'else', 'till', 'something', 'new', 'drops', 'hard']",normal person like like many others dummies like unsub play something else till something new drops hard
129,2/22/2022,7:32:32 PM, anyone els have issue with the portalk,Negative,Game,"['anyone', 'els', 'issue', 'portalk']",anyone els issue portalk
130,2/22/2022,6:02:56 PM, k,Negative,Game,['k'],k
131,2/22/2022,8:55:10 PM, bs i want it now,Negative,Game,"['bs', 'want']",bs want
132,2/22/2022,7:31:14 PM, no new dungs,Negative,Game,"['new', 'dungs']",new dungs
133,2/22/2022,10:33:26 PM, anyone else having a shit ton of issues with this dlc,Negative,Game,"['anyone', 'else', 'shit', 'ton', 'issues', 'dlc']",anyone else shit ton issues dlc
134,2/22/2022,8:43:58 PM, man this lag,Negative,Game,"['man', 'lag']",man lag
135,2/22/2022,8:37:22 PM, lagobis,Negative,Game,['lagobis'],lagobis
136,2/22/2022,8:45:25 PM, oribos big fucked rn lol,Negative,Game,"['oribos', 'big', 'fucked', 'rn', 'lol']",oribos big fucked rn lol
137,2/22/2022,5:22:31 PM, anyone having an issue with the first quest,Negative,Game,"['anyone', 'issue', 'first', 'quest']",anyone issue first quest
138,2/22/2022,8:58:02 PM, who broke wow,Negative,Game,"['broke', 'wow']",broke wow
139,2/22/2022,6:56:16 PM, if u havent figured out this game is worthless idek what to tell u brotherman,Negative,Game,"['havent', 'figured', 'game', 'worthless', 'idek', 'tell', 'brotherman']",havent figured game worthless idek tell brotherman
140,2/23/2022,12:58:25 AM, i'm dancing without legs,Negative,Game,"['dancing', 'without', 'legs']",dancing without legs
141,2/22/2022,8:43:43 AM, just expect the worse that way you wont be disappointed,Negative,Game,"['expect', 'worse', 'way', 'wont', 'disappointed']",expect worse way wont disappointed
142,2/23/2022,7:31:21 PM, pvp vendor are the same.. no new gear til tuesday,Negative,Game,"['pvp', 'vendor', 'new', 'gear', 'til', 'tuesday']",pvp vendor new gear til tuesday
143,2/23/2022,10:29:37 AM," ah, okatdh's right, i missed the recent tweet from sub dev #145",Negative,Game,"['ah', 'okatdh', 'right', 'missed', 'recent', 'tweet', 'sub', 'dev']",ah okatdh right missed recent tweet sub dev
144,2/23/2022,11:48:18 AM, lol,Negative,Game,['lol'],lol
145,2/22/2022,8:15:23 AM," i was working all week then on call and had to work my 2 days off, now i finally have today off and the fucking servers are gonna be down",Negative,Game,"['working', 'week', 'call', 'work', 'days', 'finally', 'today', 'fucking', 'servers', 'gonna']",working week call work days finally today fucking servers gonna
146,2/22/2022,9:59:47 PM, why did i just get rolled back wtf,Negative,Game,"['get', 'rolled', 'back', 'wtf']",get rolled back wtf
147,2/22/2022,10:35:33 PM," just remember with out boosting or legendarys, no wow token sales, they just going to replace one evil with another.",Negative,Game,"['remember', 'boosting', 'legendarys', 'wow', 'token', 'sales', 'going', 'replace', 'one', 'evil', 'another']",remember boosting legendarys wow token sales going replace one evil another
148,2/23/2022,7:30:55 PM, campaign is resident jfc,Negative,Game,"['campaign', 'resident', 'jfc']",campaign resident jfc
149,2/23/2022,2:09:45 PM, unsub you'll be happier,Negative,Game,"['unsub', 'happier']",unsub happier
150,2/22/2022,8:42:45 AM, when nothing's working all i want to do is play,Negative,Game,"['nothing', 'working', 'want', 'play']",nothing working want play
151,2/22/2022,8:59:40 PM, lol it doing the same for me,Negative,Game,['lol'],lol
152,2/22/2022,8:40:55 PM," well, that sucks",Negative,Game,"['well', 'sucks']",well sucks
153,2/22/2022,9:22:25 PM, wtb d/c,Negative,Game,"['wtb', 'c']",wtb c
154,2/23/2022,3:00:45 PM, cmon blizz,Negative,Game,"['cmon', 'blizz']",cmon blizz
155,2/22/2022,9:21:11 PM, onlyfans at this rate,Negative,Game,"['onlyfans', 'rate']",onlyfans rate
156,2/22/2022,6:02:43 PM, the new zone is terrible,Negative,Game,"['new', 'zone', 'terrible']",new zone terrible
157,2/22/2022,6:07:13 PM, lol,Negative,Game,['lol'],lol
158,2/23/2022,12:58:16 AM, yeah ,Negative,Game,['yeah'],yeah
159,2/22/2022,6:18:04 PM, after about 1000 quests.,Negative,Game,['quests'],quests
160,2/23/2022,5:27:27 PM, how tf do i get back to zerteth,Negative,Game,"['tf', 'get', 'back', 'zerteth']",tf get back zerteth
161,2/23/2022,7:47:37 PM, the new sets almost all look like shit lmao,Negative,Game,"['new', 'sets', 'almost', 'look', 'like', 'shit', 'lmao']",new sets almost look like shit lmao
162,2/23/2022,2:02:50 PM, lol,Negative,Game,['lol'],lol
163,2/23/2022,5:25:57 PM, if people pay for jailers gauntlet they are a bozo ,Negative,Game,"['people', 'pay', 'jailers', 'gauntlet', 'bozo']",people pay jailers gauntlet bozo
164,2/22/2022,9:20:44 PM, thats what im saying,Negative,Game,['saying'],saying
165,2/23/2022,11:48:07 AM, its literally korthia but green. been there done that. zzzzzz,Negative,Game,"['literally', 'korthia', 'green', 'done', 'zzzzzz']",literally korthia green done zzzzzz
166,2/22/2022,9:51:47 PM, jesus christ oribos,Negative,Game,"['jesus', 'christ', 'oribos']",jesus christ oribos
167,2/22/2022,6:25:10 PM, nice one blizz,Negative,Game,"['nice', 'one', 'blizz']",nice one blizz
168,2/23/2022,10:38:46 AM, never pay for the game again,Negative,Game,"['never', 'pay', 'game']",never pay game
169,2/23/2022,1:08:25 AM, how much bullshit am i gonna have to do just to pvp?,Negative,Game,"['much', 'bullshit', 'gonna', 'pvp']",much bullshit gonna pvp
170,2/22/2022,8:58:11 PM, rip wow,Negative,Game,"['rip', 'wow']",rip wow
171,2/22/2022,8:39:23 AM, i dont want servers to go down in 20 mins d:,Negative,Game,"['want', 'servers', 'go', 'mins']",want servers go mins
172,2/22/2022,6:10:27 PM, no one likes belfs,Negative,Game,"['one', 'likes', 'belfs']",one likes belfs
173,2/23/2022,2:45:14 PM, wtf are these elite sets?,Negative,Game,"['wtf', 'elite', 'sets']",wtf elite sets
174,2/22/2022,5:13:48 PM," heard dumbasses are getting boosting on mage tower. lmao, idiots",Negative,Game,"['heard', 'dumbasses', 'getting', 'boosting', 'mage', 'tower', 'lmao', 'idiots']",heard dumbasses getting boosting mage tower lmao idiots
175,2/22/2022,10:31:39 PM, the new area isnt that special,Negative,Game,"['new', 'area', 'isnt', 'special']",new area isnt special
176,2/22/2022,8:17:12 AM," yes, yes, unjust ban, sure. get what you deserve.",Negative,Game,"['yes', 'yes', 'unjust', 'ban', 'sure', 'get', 'deserve']",yes yes unjust ban sure get deserve
177,2/23/2022,2:45:16 PM, trash!,Negative,Game,['trash'],trash
178,2/22/2022,9:37:11 PM, truth crashed the servers,Negative,Game,"['truth', 'crashed', 'servers']",truth crashed servers
179,2/22/2022,8:43:36 AM," like i said, tomorrow",Negative,Game,"['like', 'said', 'tomorrow']",like said tomorrow
180,2/23/2022,12:23:07 AM," raid, clear content, retire til 10.0",Negative,Game,"['raid', 'clear', 'content', 'retire', 'til']",raid clear content retire til
181,2/23/2022,6:40:47 PM, its alot,Negative,Game,['alot'],alot
182,2/23/2022,1:06:10 PM," i hope microsoft is like ""idk what you guys are doing but its not getting more subs""",Negative,Game,"['hope', 'microsoft', 'like', 'idk', 'guys', 'getting', 'subs']",hope microsoft like idk guys getting subs
183,2/23/2022,1:08:48 AM, are the fuckin portals to org in oribos broken they made me dc twice now in the loading screen,Negative,Game,"['fuckin', 'portals', 'org', 'oribos', 'broken', 'made', 'dc', 'twice', 'loading', 'screen']",fuckin portals org oribos broken made dc twice loading screen
184,2/23/2022,3:10:02 PM, whoever did the animation for scrapforged mechaspider when idle while flying needs to be fired ,Negative,Game,"['whoever', 'animation', 'scrapforged', 'mechaspider', 'idle', 'flying', 'needs', 'fired']",whoever animation scrapforged mechaspider idle flying needs fired
185,2/22/2022,10:40:56 PM, can you fly to the new zone lol,Negative,Game,"['fly', 'new', 'zone', 'lol']",fly new zone lol
186,2/23/2022,9:19:10 PM," *9.2 drops, lost ark and ff player numbers see almost no change* uh oh blizzard",Negative,Game,"['9.2', 'drops', 'lost', 'ark', 'ff', 'player', 'numbers', 'see', 'almost', 'change', 'uh', 'oh', 'blizzard']",9.2 drops lost ark ff player numbers see almost change uh oh blizzard
187,2/23/2022,7:43:40 PM, double fact,Negative,Game,"['double', 'fact']",double fact
188,2/22/2022,5:20:36 PM, why on earth is the new honor gear not out for bg event week???,Negative,Game,"['earth', 'new', 'honor', 'gear', 'bg', 'event', 'week']",earth new honor gear bg event week
189,2/23/2022,2:10:09 PM, ^,Negative,Game,['negative'],negative
190,2/23/2022,1:07:26 AM, shoulda waited 3 weeks ,Negative,Game,"['shoulda', 'waited', 'weeks']",shoulda waited weeks
191,2/22/2022,8:33:31 AM, you never take patch day off lol,Negative,Game,"['never', 'take', 'patch', 'day', 'lol']",never take patch day lol
